Recipe_ID,Recipe_Name,Description,Category,Flavor_Profile,Difficulty_Level,Prep_Time_Minutes,Cook_Time_Minutes,Total_Time_Minutes,Servings,Image_URL,Video_URL,Source,Date_Created,Date_Updated,Tips_Tricks,Storage_Instructions,Customer_Feedback_Score,Market_Trend_Relevance,Ingredients_Flattened,Instructions_Flattened
japanese_fruit_roll_cake_001,Bánh bông lan cuộn kem tươi hoa quả (Japanese Fruit Roll Cake),"Bánh bông lan cuộn kiểu Nhật mềm, mịn, xốp với nhân kem tươi hoa quả.",Hiện đại,Trái cây,Trung bình,20.0,30.0,90.0,6-8,http://www.savourydays.com/wp-content/uploads/2015/10/banh-bong-lan-cuon-kem-tuoi-hoa-qua-japanese-fruit-roll-cake-1.jpg,https://www.youtube.com/watch?v=UIb3VUH6RGE,Savoury Days,2015-10-21,,"Lòng trắng, âu đựng và que đánh không được dính chất béo. Nếu lòng trắng đánh quá cứng, dùng phới lồng quấy nhẹ để hòa tan bớt. Nếu hỗn hợp bị lỏng, loãng, có nhiều bọt khí to thì bánh dễ bị dai và nở kém. Nhiệt độ nướng sẽ thay đổi tùy theo lò. Nên đặt bánh lên khăn sạch để nguội để thoát hơi nước. Đánh kem tươi ở tốc độ thấp nhất khi gần đặc để tránh tách nước. Cắt bỏ rìa bánh khô trước khi cuộn. Cuộn bánh dứt khoát để tránh nứt.",Bảo quản bánh trong ngăn mát tủ lạnh trong khoảng 2 – 3 ngày.,,Cao,"Lòng đỏ trứng: 4quả (18-20gr/lòng đỏ, nhiệt độ phòng); Đường: 20gram (None); Sữa tươi không đường: 40ml (None); Dầu ăn thực vật: 40gram (Không dùng dầu Olive); Vani chiết xuất: 0.5thìa cafe (None); Bột mì đa dụng: 30gram (None); Bột ngô: 30gram (None); Lòng trắng trứng: 4quả (30-35gr/lòng trắng, nhiệt độ phòng); Muối: nhúm nhỏNone (None); Cream of tartar: 0.375thìa cafe (Hoặc nước cốt chanh/dấm tương đương); Đường: 60gram (Rây mịn); Kem tươi 35-40% béo: 125ml (None); Đường: 20gram (None); Hoa quả tươi: tùy thíchNone (Ví dụ: 1 kiwi, 70gr quýt đóng hộp, 8-10 dâu)","1. Làm nóng lò nướng ở 170 độ C – hai lửa.
2. Cho lòng đỏ và 20 gram đường vào âu, đánh nhẹ nhàng tới khi đường tan hết, hòa quyện với lòng đỏ.
3. Cho sữa, dầu ăn, vanilla vào, trộn đều với lòng đỏ.
4. Rây bột mì và bột ngô, trộn đều tới khi hỗn hợp mịn mượt, không có vón cục.
5. Đánh lòng trắng trứng với muối, cream of tartar và đường tới bông cứng: lòng trắng bóng, dẻo, mịn, khi nhấc que đánh lên thấy có chóp nhọn, và chóp này không bị oặt xuống.
6. Trộn lòng trắng với hỗn hợp lòng đỏ bằng kĩ thuật fold. Sau khi trộn xong, hỗn hợp bông mịn, không có bọt khí to, không lỏng hoặc loãng.
7. Nướng bánh ở chính giữa lò, 170 độ C trong 25 – 30 phút, tới khi mặt bánh chuyển vàng, ấn nhẹ lên mặt bánh thấy vết lõm lập tức phồng trở lại.
8. Lấy bánh chín ra khỏi khuôn, gỡ bỏ giấy nến. Để bánh nguội hẳn. Nên đặt bánh lên 1 chiếc khăn sạch, dưới khăn là rack và đặt tất cả trên 1 khuôn cao. Lớp khăn này sẽ giúp cho bánh không bị dính vào rack, đồng thời cũng thoát hơi nước dễ hơn.
9. Trong lúc đợi bánh nguội, đánh kem tươi với đường đến bông cứng. Khi kem đã gần đặc và có vân khi chạy máy, nên đánh ở tốc độ thấp nhất để tránh cho kem bị đánh quá đà và tách nước. Cắt hoa quả thành miếng nhỏ. Để kem và hoa quả vào tủ lạnh khoảng 30 phút, kem sẽ đặc và trét bánh dễ hơn.
10. Khi bánh đã nguội, cắt bỏ phần rìa bánh vì phần này thường rất khô, sẽ làm gãy bánh khi cuộn. Đặt bánh lên 1 tờ giấy bạc, mặt nâu quay lên trên.
11. Trét kem lên mặt bánh, chừa lại khoảng 0.5 cm riềm hai bên và 2 cm ở mép cuối cuộn bánh (do khi cuộn kem sẽ dồn xuống dưới). Xếp hoa quả lên trên phần kem.
12. Nhẹ nhàng nhưng dứt khoát cuộn bánh lại. Giấy bạc có thể giúp cuộn bánh nếu bạn chưa quen tay vì giấy bạc khá cứng nên cuộn sẽ dễ hơn là dùng giấy nến hay khăn. Nên cuộn dứt khoát vì thường càng rón rén thì bánh càng dễ bị nứt.
13. Sau khi cuộn xong, bọc chặt bánh bằng nilon bọc thực phẩm. Để bánh vào tủ lạnh khoảng 3 – 4 giờ để phần kem lạnh hẳn. Bảo quản bánh trong ngăn mát tủ lạnh trong khoảng 2 – 3 ngày."
chocolate_cake_roll_002,Chocolate Cake Roll (Swiss Roll),A classic chocolate cake roll with vanilla whipped cream and chocolate ganache.,Truyền thống,Chocolate,Trung bình,,,,,https://sallysbakingaddiction.com/wp-content/uploads/2019/10/chocolate-cake-roll-swiss-roll-recipe-2.jpg,,Sally's Baking Addiction,2019-10-01,2024-08-16,Sử dụng dầu ăn thay bơ để bánh ẩm hơn. Buttermilk cũng giúp bánh ẩm. Bột espresso giúp tăng cường hương vị chocolate. Cuộn bánh dễ dàng hơn và ít bị nứt hơn.,,,Cao,Bột mì đa dụng hoặc bột làm bánh: NoneNone (None); Bột cacao không đường: NoneNone (Dutch-process hoặc natural); Trứng: 4quả (Tách lòng đỏ và lòng trắng); Dầu ăn: NoneNone (Giúp bánh ẩm hơn); Buttermilk: NoneNone (Hoặc sữa tươi nguyên kem); Bột espresso: một lượng nhỏNone (Tăng cường hương vị cacao),"1. Chuẩn bị các nguyên liệu chính: bột mì, bột cacao, trứng tách lòng, dầu ăn, buttermilk, bột espresso.
2. Đánh bông lòng trắng trứng đến độ bông cứng vừa phải để tạo độ xốp cho bánh.
3. Trộn các nguyên liệu khô và ướt còn lại để tạo hỗn hợp bột bánh.
4. Nhẹ nhàng fold lòng trắng trứng vào hỗn hợp bột.
5. Nướng bánh theo hướng dẫn để đảm bảo bánh chín mềm và không bị khô.
6. Để bánh nguội hoàn toàn trước khi cuộn để tránh bị nứt.
7. Chuẩn bị kem vani đánh bông và ganache chocolate.
8. Phết kem lên bánh và cuộn lại.
9. Phủ ganache chocolate lên bánh đã cuộn."
red_velvet_cake_roll_003,Red Velvet Cake Roll,Light and tender red velvet cake roll with cream cheese whipped cream filling.,Hiện đại,"Red Velvet, Cream Cheese",Trung bình,,12.0,,,https://www.lifeloveandsugar.com/wp-content/uploads/2021/04/Red-Velvet-Cake-Roll-S2.jpg,,"Life, Love, and Sugar",,,Đo bột mì chính xác. Buttermilk và giấm trắng là thành phần quan trọng tạo hương vị đặc trưng. Dầu thực vật giúp bánh ẩm. Cuộn bánh khi còn nóng để tránh nứt. Làm lạnh bánh đã cuộn để kem đông lại.,"Làm lạnh bánh đã cuộn ít nhất một giờ, có thể để qua đêm.",,Cao,Bột mì đa dụng: 1 cup trừ 1 tbspNone (Đo chính xác); Bột cacao không đường tự nhiên: 3tbsp (Tạo màu và hương vị); Baking powder: NoneNone (Giúp bánh nở); Muối: NoneNone (None); Trứng: NoneNone (Tách lòng đỏ và lòng trắng); Đường hạt: NoneNone (None); Buttermilk: NoneNone (Không thay thế sữa khác); Giấm trắng: NoneNone (Tạo vị chua đặc trưng); Dầu thực vật: NoneNone (Giúp bánh ẩm); Chiết xuất vani: NoneNone (None); Màu thực phẩm đỏ: NoneNone (Tạo màu đỏ tươi); Kem tươi béo: NoneNone (Để lạnh); Đường bột: NoneNone (Làm ngọt và ổn định kem); Cream cheese: NoneNone (Để nhiệt độ phòng),"1. Làm nóng lò ở 350°F (175°C). Lót giấy nến vào khuôn jelly roll, chừa phần giấy nhô cao ở các cạnh.
2. Trộn bột mì, cacao, baking powder và muối trong một bát vừa, để riêng.
3. Trong một bát lớn, đánh lòng đỏ trứng, đường và buttermilk cho đến khi hòa quyện. Thêm giấm, dầu thực vật, vani và màu đỏ, đánh đều.
4. Thêm hỗn hợp khô vào hỗn hợp ướt, trộn nhẹ nhàng cho đến khi hòa quyện.
5. Trong một bát trộn riêng, đánh lòng trắng trứng ở tốc độ cao cho đến khi bông cứng.
6. Nhẹ nhàng fold khoảng 1/3 lòng trắng trứng vào hỗn hợp chocolate để làm lỏng bột. Sau đó fold phần lòng trắng còn lại cho đến khi hòa quyện.
7. Phết đều bột bánh vào khuôn đã chuẩn bị và nướng trong 10-12 phút, hoặc cho đến khi mặt bánh đàn hồi khi chạm vào và tăm xiên ra sạch.
8. Lấy bánh ra khỏi lò và ngay lập tức nhấc bánh ra khỏi khuôn bằng giấy nến, đặt lên mặt bàn.
9. Khi bánh còn nóng, dùng giấy nến cuộn bánh lại từ cạnh ngắn hơn. Để nguội hoàn toàn, có thể tháo ra cuộn lại vài lần trong quá trình nguội để giữ độ đàn hồi.
10. Khi bánh đã nguội hoàn toàn, làm kem phô mai đánh bông: đánh kem tươi béo, đường bột và vani cho đến khi đặc lại. Thêm cream cheese đã làm mềm và đánh ở tốc độ thấp cho đến khi bông cứng.
11. Cẩn thận mở cuộn bánh, phết đều kem lên mặt bánh, chừa một khoảng trống nhỏ ở các cạnh.
12. Cuộn bánh lại mà không dùng giấy nến. Bọc bánh bằng màng bọc thực phẩm, để phần mép bánh xuống dưới và làm lạnh ít nhất một giờ.
13. Khi dùng, lấy bánh ra khỏi màng bọc thực phẩm, đặt lên đĩa và rắc thêm đường bột."
matcha_swiss_roll_004,Matcha Swiss Roll (Roll Cake),A fluffy sponge cake filled with fresh green tea powder cream.,Hiện đại,Trà xanh,Trung bình,,12.0,,,https://www.justonecookbook.com/wp-content/uploads/2020/06/Matcha-Swiss-Roll-1-500x500.jpg,https://www.youtube.com/watch?v=BkS1K8b6BNY,Just One Cookbook,,2025-01-20,Cân đo nguyên liệu chính xác. Rây bột trà xanh 3 lần để tránh vón cục. Không trộn quá tay bột bánh. Cuộn bánh khi còn ấm để tránh nứt. Kem phải đặc để không bị chảy khi cuộn.,Bảo quản trong tủ lạnh tối đa 3 ngày.,,Cao,Trứng lớn: 4quả (50g mỗi quả không vỏ); Bột làm bánh: 0.75cup (Đo chính xác bằng cân hoặc phương pháp fluff and sprinkle); Baking powder: 0.5tsp (None); Bột trà xanh (matcha): 2tbsp (1 tbsp = 6g); Đường: 0.5cup (Chia đôi); Sữa tươi nguyên kem: 3tbsp (Làm ấm); Kem tươi béo: 0.75cup (Để lạnh); Đường: 1.5tbsp (None); Bột trà xanh (matcha): 2tsp (None),"1. Chuẩn bị nguyên liệu, cân đo chính xác. Làm nóng lò ở 375ºF (190ºC). Lót giấy nến vào khuôn jelly roll 15x10 inch.
2. Tách lòng đỏ và lòng trắng trứng. Giữ lòng trắng trong tủ lạnh, lòng đỏ ở nhiệt độ phòng.
3. Rây bột làm bánh, baking powder và bột trà xanh 3 lần để đảm bảo hỗn hợp mịn và có không khí.
4. Đánh lòng đỏ trứng với một nửa lượng đường cho đến khi tăng gấp đôi thể tích và tạo thành dải ruy băng.
5. Đánh lòng trắng trứng cho đến khi nổi bọt, sau đó từ từ thêm phần đường còn lại và đánh đến khi bông cứng và bóng.
6. Nhẹ nhàng fold 1/3 lòng trắng trứng vào hỗn hợp lòng đỏ. Sau đó cho hỗn hợp lòng đỏ vào phần lòng trắng còn lại và fold nhẹ nhàng cho đến khi hòa quyện.
7. Thêm hỗn hợp khô vào hỗn hợp trứng, fold nhẹ nhàng cho đến khi hòa quyện, tránh trộn quá tay.
8. Thêm sữa tươi đã làm ấm vào bột và fold cho đến khi hòa quyện.
9. Đổ bột vào khuôn đã chuẩn bị, dàn đều và gõ nhẹ để loại bỏ bọt khí. Nướng trong 10-12 phút hoặc cho đến khi bánh chín.
10. Lấy bánh ra khỏi lò, thả khuôn xuống mặt bàn một lần để tránh bánh co lại. Đặt giấy nến lên mặt bánh, úp ngược bánh và nhẹ nhàng bóc giấy nến cũ.
11. Cắt bỏ 1/2 inch ở một đầu ngắn của bánh theo góc. Cuộn bánh khi còn ấm cùng với giấy nến, bắt đầu từ đầu đối diện với phần đã cắt. Để nguội hoàn toàn trên giá.
12. Làm kem trà xanh: đánh kem tươi béo, đường và bột trà xanh cho đến khi đặc và có thể phết được.
13. Mở cuộn bánh, phết đều kem trà xanh lên mặt bánh, chừa khoảng 1/2 inch ở các cạnh. Cuộn bánh lại chặt chẽ mà không dùng giấy nến. Bọc trong giấy nến và làm lạnh ít nhất 2 giờ.
14. Cắt bỏ 1/2 inch ở hai đầu bánh để lộ các vòng xoắn đẹp mắt. Cắt lát và phục vụ."
taro_swiss_roll_005,Cottony Soft Taro Swiss Roll,A Taiwanese inspired cottony soft taro swiss roll with a simple and classy mont blanc style decor.,Hiện đại,Khoai môn,Trung bình,30.0,35.0,,6,https://vanillynbakery.com/wp-content/uploads/2021/04/IMG_0199-scaled.jpg,,VANILLYN BAKERY,2021-04-01,,Hấp khoai môn cho đến khi rất mềm để dễ nghiền. Lọc nhân khoai môn qua rây để có độ mịn. Fold lòng trắng trứng nhẹ nhàng để bánh xốp. Cuộn bánh khi còn ấm để tránh nứt. Làm lạnh bánh sau khi cuộn để giữ hình dạng.,Làm lạnh ít nhất 30 phút để bánh giữ hình dạng.,,Cao,Khoai môn: 250gram (Gọt vỏ và thái lát); Dầu hạt cải: 30gram (None); Kem tươi béo: 60gram (None); Đường hạt: 50gram (None); Rượu rum đen: 1tsp (Tùy chọn); Lòng đỏ trứng: 4quả (None); Dầu thực vật: 30gram (None); Sữa tươi: 40gram (None); Bột mì đa dụng: 40gram (None); Bột ngô: 10gram (None); Lòng trắng trứng: 4quả (None); Cream of tartar: 0.25tsp (None); Đường hạt: 60gram (None),"1. **Làm nhân khoai môn:** Hấp khoai môn thái lát trong 10-15 phút cho đến khi rất mềm. Nghiền nát khi còn nóng.
2. Cho khoai môn nghiền vào chảo chống dính cùng với dầu hạt cải, kem tươi, đường và rượu rum (tùy chọn).
3. Đun trên lửa vừa, khuấy liên tục cho đến khi đường tan chảy và tất cả các nguyên liệu hòa quyện. Hỗn hợp phải bóng và không quá khô. Lọc qua rây để có hỗn hợp mịn.
4. **Làm cốt bánh:** Làm nóng lò ở 160°C. Lót giấy nến vào khuôn 25x35cm.
5. Trộn lòng đỏ trứng, dầu thực vật, sữa tươi, bột mì và bột ngô cho đến khi mịn.
6. Đánh lòng trắng trứng với cream of tartar cho đến khi nổi bọt, sau đó từ từ thêm đường và đánh đến khi bông cứng.
7. Fold nhẹ nhàng lòng trắng trứng vào hỗn hợp lòng đỏ.
8. Đổ bột vào khuôn đã chuẩn bị, dàn đều và nướng trong 25-30 phút.
9. **Cuộn bánh:** Khi bánh nguội, bóc lớp da trên mặt bánh (tùy chọn). Lật bánh lên một tờ giấy nến sạch, cắt bỏ khoảng 1cm ở một cạnh ngắn theo góc.
10. Phết siro lên bánh (tùy chọn). Phết đều nhân khoai môn lên bánh, chừa khoảng 1cm ở cạnh đã cắt.
11. Bắt đầu cuộn bánh từ cạnh đối diện với cạnh đã cắt, dùng giấy nến để hỗ trợ. Dùng thước hoặc dụng cụ phẳng để siết chặt các đầu bánh.
12. Làm lạnh ít nhất 30 phút để bánh giữ hình dạng."
strawberry_swiss_roll_006,Strawberry Swiss Roll,"A vanilla sponge cake filled with fresh, homemade strawberry jam and vanilla-flavored cream cheese frosting.",Truyền thống,"Dâu tây, Vani",Trung bình,,15.0,,,https://www.homecookingadventure.com/wp-content/uploads/2016/04/Strawberry-Swiss-Roll-1.jpg,,Home Cooking Adventure,2016-04-05,,Cuộn bánh khi còn nóng để tránh nứt. Rắc đường bột lên khăn để chống dính. Để nguội hoàn toàn trước khi phết kem. Làm lạnh bánh sau khi lắp ráp để kem đông lại.,Làm lạnh ít nhất 1 giờ trước khi dùng.,,Cao,Dâu tây: NoneNone (Để làm mứt dâu); Đường: NoneNone (Để làm mứt dâu); Nước: NoneNone (Để làm mứt dâu); Bột mì: NoneNone (None); Baking powder: NoneNone (None); Muối: NoneNone (None); Trứng: NoneNone (None); Đường: NoneNone (None); Chiết xuất vani: NoneNone (None); Dầu ăn: NoneNone (None); Đường bột: NoneNone (Để rắc lên khăn và bánh); Cream cheese: NoneNone (None); Đường bột: NoneNone (Để làm kem phô mai); Chiết xuất vani: NoneNone (Để làm kem phô mai); Kem tươi: NoneNone (Đánh bông),"1. **Chuẩn bị mứt dâu:** Kết hợp dâu tây, đường và nước trong nồi nhỏ. Đun nhỏ lửa cho đến khi đặc lại, khoảng 15-20 phút. Để nguội hoàn toàn.
2. **Chuẩn bị cốt bánh:** Làm nóng lò ở 350°F (180°C). Phết bơ và lót giấy nến vào khay nướng 12x16 inch (30x40 cm).
3. Trong một bát vừa, trộn bột mì, baking powder và muối. Để riêng.
4. Trong một bát lớn, đánh trứng, đường và vani cho đến khi hỗn hợp có màu vàng chanh và nổi bọt. Thêm dầu ăn và trộn đều. Từ từ thêm hỗn hợp bột, trộn cho đến khi vừa hòa quyện.
5. Đổ bột vào khay đã chuẩn bị, dàn đều. Nướng trong 12-15 phút hoặc cho đến khi tăm xiên ra sạch.
6. Trong khi bánh nướng, chuẩn bị một chiếc khăn bếp bằng cách rắc đường bột lên.
7. Khi bánh chín, lật bánh lên khăn đã chuẩn bị khi còn nóng. Gỡ giấy nến và rắc đường bột lên bánh.
8. Khi bánh còn nóng hoặc ấm, cuộn bánh lại trong khăn. Để nguội hoàn toàn.
9. **Chuẩn bị kem phô mai:** Trong một bát, đánh cream cheese với đường bột và vani cho đến khi mịn. Trong một bát khác, đánh bông kem tươi cho đến khi bông cứng. Nhẹ nhàng fold kem tươi vào hỗn hợp cream cheese.
10. **Lắp ráp:** Khi bánh đã nguội, cẩn thận mở cuộn bánh. Phết đều mứt dâu lên bánh, sau đó là một lớp kem phô mai.
11. Nhẹ nhàng cuộn bánh lại mà không dùng khăn. Làm lạnh ít nhất 1 giờ trước khi dùng.
12. Trước khi dùng, rắc thêm đường bột và trang trí bằng dâu tây tươi."
coffee_roll_cake_007,Coffee Roll Cake,"A light and fluffy chiffon cake flavoured with coffee, filled with a luscious coffee cream.",Hiện đại,Cà phê,Trung bình,,15.0,240.0,,https://www.siftandsimmer.com/wp-content/uploads/2023/02/coffee-roll-cake-featured.jpg,,Sift & Simmer,2023-02-10,,Cân đo chính xác nguyên liệu. Đánh lòng trắng trứng đến đỉnh mềm. Fold nhẹ nhàng để giữ độ xốp. Đập khay bánh sau khi nướng để tránh co rút. Không đánh quá tay kem cà phê. Làm lạnh bánh đã cuộn ít nhất 4 giờ.,Làm lạnh ít nhất 4 giờ để kem đông lại.,,Cao,Lòng đỏ trứng: NoneNone (None); Đường hạt: 30gram (None); Muối: nhúmNone (None); Dầu thực vật: NoneNone (None); Cà phê nguội: NoneNone (None); Chiết xuất vani: NoneNone (None); Bột làm bánh: NoneNone (Rây mịn); Lòng trắng trứng: NoneNone (None); Cream of tartar: NoneNone (None); Đường hạt: 30gram (None); Kem tươi béo: NoneNone (None); Bột espresso: NoneNone (None); Đường bột: NoneNone (None),"1. **Làm cốt bánh:** Làm nóng lò ở 375F (190C). Lót giấy nến vào khay nướng 9x13 inch.
2. Trong một bát lớn, trộn lòng đỏ trứng, 30g đường hạt, nhúm muối, dầu thực vật, cà phê nguội và chiết xuất vani. Đánh đều.
3. Rây bột làm bánh vào và khuấy cho đến khi vừa hòa quyện. Để riêng.
4. Trong bát của máy trộn đứng, đánh lòng trắng trứng ở tốc độ thấp đến trung bình cho đến khi nổi bọt. Thêm cream of tartar và tăng dần tốc độ.
5. Từ từ thêm 30g đường hạt còn lại và tiếp tục đánh cho đến khi lòng trắng trứng đạt đỉnh mềm.
6. Lấy khoảng 1/3 lòng trắng trứng đã đánh bông fold vào hỗn hợp lòng đỏ cà phê để làm lỏng bột.
7. Tiếp tục fold lòng trắng trứng còn lại theo từng phần 1/3 cho đến khi tất cả hòa quyện vào bột.
8. Đổ bột vào khay đã chuẩn bị. Gõ nhẹ khay vài lần xuống bàn để loại bỏ bọt khí. Dàn đều mặt bánh.
9. Nướng ở 375F (190C) trong 13-15 phút, hoặc cho đến khi mặt bánh đàn hồi và khô khi chạm vào.
10. Lấy bánh ra khỏi lò và đập khay xuống bàn để tránh bánh co lại. Chuyển bánh sang giá để nguội (không hoàn toàn).
11. **Làm kem cà phê:** Trong một bát trộn, kết hợp kem tươi béo, bột espresso và đường bột. Đánh cho đến khi kem cà phê đạt đỉnh cứng. Cẩn thận không đánh quá tay.
12. **Lắp ráp:** Khi bánh còn hơi ấm, bóc giấy nến. Chuyển bánh sang một tờ giấy nến sạch lớn. Phết kem cà phê lên mặt bánh và dàn đều.
13. Bắt đầu cuộn bánh từ một đầu (dài hoặc ngắn tùy ý), cuộn hết cỡ, kết thúc với mặt đường nối xuống dưới.
14. Bọc bánh bằng giấy nến và bịt kín các đầu. Đặt lên khay và cho vào tủ lạnh ít nhất 4 giờ để kem đông lại."
lemon_blueberry_cake_roll_008,Lemon Cake Roll with Blueberry Cream Cheese Frosting,"A soft, lemony sponge cake wrapped around a vibrant blueberry cream cheese filling.",Hiện đại,"Chanh, Việt quất",Trung bình,45.0,15.0,240.0,10,https://www.bunsenburnerbakery.com/wp-content/uploads/2023/04/Lemon-Blueberry-Cake-Roll-5.jpg,,Bunsen Burner Bakery,2025-04-22,,Sử dụng trứng ở nhiệt độ phòng. Không nướng bánh quá lâu để tránh bị khô và nứt. Cuộn bánh ngay khi còn nóng để giữ độ đàn hồi. Làm lạnh bánh đã cuộn để kem đông lại và dễ cắt hơn.,Bảo quản trong tủ lạnh tối đa 5 ngày hoặc đông lạnh đến 3 tháng.,,Cao,"Bột mì đa dụng: 1cup (120 grams); Baking powder: 1teaspoon (None); Muối: 0.5teaspoon (None); Trứng lớn: 4quả (Nhiệt độ phòng); Nước cốt chanh: 2tablespoons (None); Vỏ chanh bào: 1tablespoon (None); Đường hạt: 0.75cup (149 grams); Dầu thực vật: 1tablespoon (None); Đường bột: 1cup (113 grams, chia ra); Việt quất: 2cups (290 grams); Nước cốt chanh: 1tablespoon (None); Nước: 1tablespoon (None); Bơ lạt: 1cup (226 grams, nhiệt độ phòng); Cream cheese: 0.5cup (113 grams, nhiệt độ phòng); Đường bột: 7cups (800 grams)","1. **Làm mứt việt quất:** Trong nồi nhỏ, nấu việt quất, nước cốt chanh và nước cho đến khi việt quất vỡ ra. Lọc qua rây, ép lấy nước và để nguội hoàn toàn.
2. **Làm cốt bánh:** Làm nóng lò ở 375F (190C). Phết bơ hoặc xịt chống dính vào đáy khuôn 12x17 inch.
3. Trong một bát, trộn bột mì, baking powder và muối.
4. Trong một bát khác, đánh trứng, nước cốt chanh và vỏ chanh cho đến khi nhạt màu và sủi bọt. Thêm dầu ăn và từ từ đổ đường vào, tiếp tục đánh. Fold hỗn hợp khô vào.
5. Dàn đều bột vào khuôn đã chuẩn bị và nướng cho đến khi bánh đàn hồi khi chạm vào.
6. Ngay lập tức lật bánh lên một chiếc khăn đã rắc đường bột và cuộn chặt bánh trong khăn. Để nguội hoàn toàn.
7. **Làm kem phô mai việt quất:** Đánh bơ và cream cheese cho đến khi mịn. Từ từ thêm đường bột và nước việt quất đã nguội, tiếp tục đánh cho đến khi kem mịn và đặc.
8. **Lắp ráp:** Nhẹ nhàng mở cuộn bánh và gỡ khăn. Phết đều kem lên bánh, sau đó cuộn lại cẩn thận.
9. Làm lạnh trước khi cắt lát để kem đông lại."
pumpkin_roll_009,Easy Pumpkin Roll Recipe,"A soft, moist pumpkin cake filled with smooth cream cheese frosting.",Truyền thống,"Bí đỏ, Gia vị",Dễ,,16.0,,,https://tastesbetterfromscratch.com/wp-content/uploads/2023/10/Pumpkin-Roll-1-500x500.jpg,,Tastes Better From Scratch,,2024-10-27,Cuộn bánh khi còn nóng để tránh nứt. Bánh nóng mềm dẻo và sẽ giữ hình dạng này khi nguội. Làm lạnh bánh đã cuộn ít nhất 1 giờ để nhân đông lại.,Giữ phần còn lại trong tủ lạnh tối đa 3 ngày.,,Cao,Bột mì: NoneNone (None); Muối: NoneNone (None); Quế: NoneNone (None); Baking soda: NoneNone (None); Gia vị bí đỏ: NoneNone (None); Trứng: NoneNone (None); Vani: NoneNone (None); Đường: NoneNone (None); Bí đỏ nghiền: NoneNone (None); Cream cheese: NoneNone (None); Bơ: NoneNone (None); Vani: NoneNone (None); Đường bột: NoneNone (None),"1. **Chuẩn bị khuôn:** Làm nóng lò ở 350°F (175°C). Xịt nhẹ khuôn 10x15 inch với dầu ăn, lót giấy nến và xịt lại dầu ăn. Để thừa giấy nến ở hai cạnh dài để dễ nhấc bánh ra.
2. **Làm bột bánh:** Trong một bát, trộn bột mì, muối, quế, baking soda và gia vị bí đỏ. Trong một bát khác, trộn trứng, vani, đường và bí đỏ nghiền cho đến khi mịn. Đổ hỗn hợp khô vào hỗn hợp ướt, khuấy cho đến khi vừa hòa quyện.
3. **Nướng bánh:** Đổ bột vào khuôn đã chuẩn bị, dàn đều. Nướng trong 13-16 phút hoặc cho đến khi tăm xiên ra sạch. Lấy bánh ra khỏi lò. Nhấc bánh lên bằng giấy nến và đặt lên bề mặt phẳng chịu nhiệt. Khi bánh còn nóng, bắt đầu từ một cạnh ngắn và từ từ cuộn bánh bên trong giấy nến. Để nguội hoàn toàn trên giá.
4. **Thêm nhân:** Trộn cream cheese, bơ, vani và đường bột bằng máy đánh trứng cho đến khi bông và mịn. Cẩn thận mở cuộn bánh bí đỏ đã nguội, sau đó nhẹ nhàng phết nhân đều lên bánh. Cuộn bánh bí đỏ lại mà không dùng giấy nến và bọc bằng màng bọc thực phẩm. Làm lạnh ít nhất 1 giờ trước khi dùng.
5. **Phục vụ:** Rắc đường bột lên mặt bánh bí đỏ, nếu muốn. Cắt lát và phục vụ. Giữ phần còn lại trong tủ lạnh tối đa 3 ngày."
lemon_swiss_roll_010,Lemon Swiss Roll,Swirls of whipped cream and lemon curd to fill a cake roll.,Hiện đại,Chanh,Trung bình,,15.0,,,https://stylesweet.com/wp-content/uploads/2024/02/Lemon-Swiss-Roll-1-500x500.jpg,,Style Sweet,,2024-02-12,Đánh lòng trắng trứng đến đỉnh cứng vừa. Fold nhẹ nhàng để giữ độ xốp. Cuộn bánh khi còn ấm để tránh nứt. Làm lạnh bánh đã cuộn trước khi dùng.,Làm lạnh trước khi dùng.,,Cao,Lòng đỏ trứng: NoneNone (None); Dầu ăn: NoneNone (None); Sữa: NoneNone (None); Đường: NoneNone (None); Bột mì: NoneNone (None); Lòng trắng trứng: NoneNone (None); Kem tươi: NoneNone (None); Đường: NoneNone (None); Mứt chanh: NoneNone (None),"1. **Làm cốt bánh:** Trộn lòng đỏ trứng, dầu, sữa và đường cho đến khi mịn. Thêm hỗn hợp khô và khuấy đều.
2. Trong một bát sạch, đánh lòng trắng trứng cho đến khi bông cứng vừa. Fold lòng trắng trứng vào hỗn hợp bột làm hai lần.
3. Dàn đều bột vào khuôn 9x13 inch đã lót giấy nến. Nướng ở 350°F (175°C) khoảng 15 phút hoặc cho đến khi mặt bánh đàn hồi khi chạm vào.
4. Khi bánh ra lò, rắc đường bột lên. Đặt một chiếc khăn sạch lên trên, sau đó là một tấm thớt. Cẩn thận lật ngược tất cả. Gỡ bỏ khuôn nướng và bóc giấy nến. Rắc đường bột lên mặt dưới. Bắt đầu từ cạnh ngắn, cẩn thận cuộn bánh ấm trong khăn. Để nguội.
5. **Làm nhân:** Đánh kem tươi và đường cho đến khi bông cứng vừa. Fold một phần mứt chanh vào. Trộn đều nhưng không trộn quá kỹ.
6. **Lắp ráp:** Mở cuộn bánh và gỡ khăn. Phết nhân lên bánh. Thêm phần mứt chanh còn lại lên trên và xoáy nhẹ. Cẩn thận cuộn bánh lại. Đặt mặt đường nối xuống dưới. Làm lạnh trước khi dùng."
